temp,ts
73.40,1341563963930
73.40,1341563969709
73.40,1341563975493
73.40,1341563981276
73.51,1341563987059
73.51,1341563992842
73.62,1341563998626
73.62,1341564004405
73.74,1341564010188
73.74,1341564015972
73.74,1341564021755
73.74,1341564027538
73.85,1341564033322
73.85,1341564039101
73.85,1341564044884
73.96,1341564050668
73.96,1341564056451
73.96,1341564062234
73.96,1341564068013
73.96,1341564073797
73.96,1341564079580
74.07,1341564085363
74.07,1341564091147
74.07,1341564096930
74.07,1341564102709
74.07,1341564108492
74.07,1341564114276
73.96,1341564120059
73.96,1341564125842
73.96,1341564131626
73.96,1341564137405
73.96,1341564143188
73.96,1341564148972
73.96,1341564154755
73.96,1341564160538
73.96,1341564166321
73.96,1341564172101
73.96,1341564177884
73.85,1341564183667
73.85,1341564189451
73.74,1341564195234
73.74,1341564201013
73.74,1341564206797
73.74,1341564212580
73.74,1341564218363
73.62,1341564224146
73.62,1341564229930
73.62,1341564235709
73.62,1341564241492
73.51,1341564247276
73.51,1341564253059
73.51,1341564258842
73.40,1341564264626
73.40,1341564270405
73.40,1341564276188
73.40,1341564281972
73.40,1341564287755
73.29,1341564293538
73.29,1341564299322
73.29,1341564305101
73.29,1341564310884
73.29,1341564316667
73.29,1341564322451
73.29,1341564328234
73.29,1341564334017
73.29,1341564339797
73.29,1341564345580
73.29,1341564351363
73.29,1341564357146
73.29,1341564362930
73.40,1341564368709
73.40,1341564374492
73.40,1341564380276
73.40,1341564386059
73.40,1341564391842
73.40,1341564397626
73.40,1341564403405
73.40,1341564409188
73.40,1341564414971
73.40,1341564420755
73.51,1341564426538
73.51,1341564432321
73.51,1341564438101
73.51,1341564443884
73.51,1341564449667
73.51,1341564455451
73.51,1341564461234
73.51,1341564467017
73.62,1341564472796
73.62,1341564478580
73.62,1341564484363
73.62,1341564490146
73.74,1341564495930
73.74,1341564501713
73.74,1341564507492
73.85,1341564513276
73.85,1341564519059
73.96,1341564524842
73.96,1341564530626
73.96,1341564536405
73.96,1341564542188
73.96,1341564547971
73.96,1341564553755
73.96,1341564559538
73.96,1341564565321
73.96,1341564571101
73.96,1341564576884
73.96,1341564582667
73.96,1341564588451
73.96,1341564594234
73.96,1341564600017
73.96,1341564605796
73.96,1341564611580
73.85,1341564617363
73.96,1341564623146
73.85,1341564628930
73.96,1341564634713
73.85,1341564640492
73.85,1341564646275
73.85,1341564652059
73.85,1341564657842
73.85,1341564663625
73.74,1341564669409
73.62,1341564675188
73.62,1341564680971
73.62,1341564686755
73.62,1341564692538
73.51,1341564698321
73.51,1341564704101
73.51,1341564709884
73.51,1341564715667
73.51,1341564721450
73.40,1341564727234
73.40,1341564733017
73.40,1341564738796
73.29,1341564744580
73.29,1341564750363
73.29,1341564756146
73.29,1341564761930
73.29,1341564767713
73.29,1341564773492
73.29,1341564779275
73.29,1341564785059
73.29,1341564790842
73.29,1341564796625
73.29,1341564802405
73.29,1341564808188
73.29,1341564813971
73.29,1341564819754
73.29,1341564825538
73.29,1341564831321
73.40,1341564837100
73.29,1341564842884
73.40,1341564848667
73.40,1341564854450
73.40,1341564860234
73.40,1341564866017
73.40,1341564871796
73.40,1341564877580
73.40,1341564883363
73.40,1341564889146
73.40,1341564894929
73.51,1341564900713
73.51,1341564906492
73.51,1341564912275
73.51,1341564918059
73.51,1341564923842
73.51,1341564929625
73.51,1341564935409
73.51,1341564941188
73.51,1341564946971
73.51,1341564952754
73.51,1341564958538
73.51,1341564964321
73.51,1341564970100
73.51,1341564975884
73.51,1341564981667
73.51,1341564987450
73.51,1341564993234
73.51,1341564999017
73.51,1341565004796
73.40,1341565010579
73.40,1341565016363
73.40,1341565022146
73.40,1341565027929
73.40,1341565033713
73.40,1341565039492
73.40,1341565045275
73.29,1341565051058
73.29,1341565056842
73.29,1341565062625
73.29,1341565068408
73.29,1341565074188
73.18,1341565079971
73.18,1341565085754
73.18,1341565091538
73.06,1341565097321
73.06,1341565103104
73.06,1341565108883
73.06,1341565114667
73.06,1341565120450
73.06,1341565126233
73.06,1341565132017
73.06,1341565137796
73.06,1341565143579
73.06,1341565149363
73.06,1341565155146
73.06,1341565160929
73.06,1341565166713
73.06,1341565172492
73.06,1341565178275
73.06,1341565184059
73.06,1341565189842
73.06,1341565195625
73.06,1341565201408
73.06,1341565207188
73.18,1341565212971
73.18,1341565218754
73.18,1341565224538
73.18,1341565230321
73.29,1341565236104
73.29,1341565241883
73.29,1341565247667
73.29,1341565253450
73.29,1341565259234
73.40,1341565265017
73.40,1341565270800
73.40,1341565276579
73.40,1341565282363
